,sils,sils_err,results,res_sigs,bics,bics_err,n_clusters
0,0.2798341593498211,0.062070095388397535,0.045930931336171016,0.00409305085268925,-49094.071547060936,188.73172258480332,4
1,0.3339419089214592,0.024719540665674392,0.04769048472483738,0.00482730515579971,-49243.505184413625,41.9891386544334,5
2,0.34068746684607704,0.022591653090865256,0.07784611370387097,0.01516101066746352,-49494.61091450797,119.56278592284376,6
3,0.3574929651767713,0.019818483656913983,0.0867367927411818,0.018126714919003528,-49652.196516037664,86.51885397141181,7
4,0.3572985255496247,0.021196848795404243,0.0932612860132894,0.005615112484118285,-49819.306094922096,101.10825458340506,8
5,0.3490761312898055,0.02770616492558673,0.0953578736264966,0.0078632544617338,-49949.167872102815,105.73334157790107,9
6,0.34903205244934066,0.027323958965661248,0.09385482301529643,0.006463939770215425,-50111.90270173951,120.18138517351566,10
7,0.3643609809919852,0.01619830148659742,0.1039729340691508,0.010214839262450492,-50225.27853222536,123.25393773755717,11
8,0.3673686725884877,0.012149131785852856,0.11210579045172606,0.006737147030643982,-50474.525143275365,157.61404404569177,12
9,0.3324039203892861,0.029413093828586787,0.1116658993155242,0.007623182982749277,-50588.21343831948,216.4568582906673,13
10,0.3283552698871509,0.031824285795815505,0.11088233914672656,0.005052536901139786,-50599.11896187369,209.95612167211948,14
11,0.3329887234291923,0.026847572323057563,0.1092249092836162,0.004667669766945103,-50641.19014362759,183.88455771088883,15
12,0.3566611172450473,0.018060824439012,0.11051652265134414,0.008229624900066563,-50715.73112461279,149.35762427258751,16
13,0.3345722082798352,0.02420716734076306,0.1099026227801524,0.010232031110328192,-50673.973919570984,117.93421918760104,17
14,0.34324417740089497,0.02327185146381749,0.11582111983143245,0.003984637267310098,-50675.76020098882,96.48111614505177,18
15,0.3484047178137489,0.018618979472712387,0.11445460397790655,0.002490718638949944,-50709.14417372219,67.27570633977061,19
16,0.3680095393225861,0.013804846726442927,0.12403533510416605,0.0029939115479408,-50728.037430211276,69.96818379433623,20
17,0.3480178095716718,0.019699603201489488,0.12074876966929995,0.0036357496132595774,-50776.2733105714,76.44350719627322,21
18,0.3496071664109989,0.021338776559013343,0.1230588030688757,0.004030791696788702,-50772.532902336534,69.57093026970168,22
19,0.3485161547758814,0.02169178961101676,0.1315580159322365,0.0012346974122262242,-50782.87751300597,88.6358472612163,23
20,0.34858369563887903,0.019849957515940063,0.12461592670551767,0.0036590185506283884,-50749.046183971564,59.271130012393634,24
21,0.3474336770534901,0.026535265061731303,0.12935771167149795,0.007097725163890159,-50732.84338300191,59.48222280039064,25
22,0.3405312414746144,0.022561222802345945,0.13033026787628998,0.005434166131204647,-50714.99307009462,79.35177425120509,26
23,0.3452851331642586,0.022450100086695044,0.12640251686799273,0.006271985365971126,-50706.204611464746,51.72494852676631,27
24,0.33425747916871745,0.023894734458290552,0.12351301836749715,0.0067215289810655205,-50675.26542550557,55.41703185847096,28
