,edu_location,edu_Latitude,_Longitude,location_id,Venue,venue_id,Venue Latitude,Venue Longitude,Venue Category,Venue Category Plural,Venue Category Short,sub_id
29,San Francisco State University,37.7208542626991,-122.47708049999999,0,Dinosaurs 2,5039741fe4b049dedb531eb1,37.731517504965346,-122.47257553990343,Vietnamese Restaurant,Vietnamese Restaurants,Vietnamese,4bf58dd8d48988d14a941735
30,San Francisco State University,37.7208542626991,-122.47708049999999,0,Fort Funston,45e981baf964a5207f431fe3,37.714986930252145,-122.50263342459404,Park,Parks,Park,4bf58dd8d48988d163941735
31,San Francisco State University,37.7208542626991,-122.47708049999999,0,Ballast Coffee,5a09ff61123a19029d2640d1,37.73755219211939,-122.46945399580734,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735
32,San Francisco State University,37.7208542626991,-122.47708049999999,0,Whole Foods Market,5012dc62e4b0e259d29483ed,37.72375891444195,-122.45489360939011,Grocery Store,Grocery Stores,Grocery Store,4bf58dd8d48988d118951735
33,San Francisco State University,37.7208542626991,-122.47708049999999,0,Wetzel's Pretzels,4bdf88cc0ee3a5937fb734b0,37.727219865606614,-122.47715431398332,Snack Place,Snack Places,Snacks,4bf58dd8d48988d1c7941735
34,San Francisco State University,37.7208542626991,-122.47708049999999,0,Bacon Bacon,4e1a0a90e4cd49a7e3f9244f,37.73937361668216,-122.47428022272986,Food Truck,Food Trucks,Food Truck,4bf58dd8d48988d1cb941735
35,San Francisco State University,37.7208542626991,-122.47708049999999,0,House of Pancakes,512831dae4b058a839d3cdac,37.742856414095435,-122.47618407011034,Chinese Restaurant,Chinese Restaurants,Chinese,4bf58dd8d48988d145941735
36,San Francisco State University,37.7208542626991,-122.47708049999999,0,The Fog Lifter Café,4df15c6bc65bf55ee522aada,37.725141,-122.462488,Café,Cafés,Café,4bf58dd8d48988d16d941735
37,San Francisco State University,37.7208542626991,-122.47708049999999,0,Beep's Burgers,4ad8de38f964a5207c1521e3,37.723396058466584,-122.45399772151599,Burger Joint,Burger Joints,Burgers,4bf58dd8d48988d16c941735
38,San Francisco State University,37.7208542626991,-122.47708049999999,0,Victoria's Secret PINK,4b724069f964a5209c752de3,37.7274383895913,-122.47707351172092,Lingerie Store,Lingerie Stores,Lingerie,4bf58dd8d48988d109951735
39,San Francisco State University,37.7208542626991,-122.47708049999999,0,Submarine Center,47bae8a8f964a520d14d1fe3,37.74082687756648,-122.46546663919555,Sandwich Place,Sandwich Places,Sandwiches,4bf58dd8d48988d1c5941735
40,San Francisco State University,37.7208542626991,-122.47708049999999,0,Marketplace Cafe,573b2c2e38faeff59fd2bb9a,37.726605654060464,-122.47750103473663,Café,Cafés,Café,4bf58dd8d48988d16d941735
41,San Francisco State University,37.7208542626991,-122.47708049999999,0,Super Cue Cafe,547f92fc498e37b38e2f294f,37.72417474352386,-122.45702888087783,Bubble Tea Shop,Bubble Tea Shops,Bubble Tea,52e81612bcbc57f1066b7a0c
42,San Francisco State University,37.7208542626991,-122.47708049999999,0,Marco Polo Italian Ice Cream,49ee35c8f964a5203b681fe3,37.742758126828164,-122.4818560301683,Ice Cream Shop,Ice Cream Shops,Ice Cream,4bf58dd8d48988d1c9941735
